"Perioden";"Prijsindex verkoopprijzen/Prijsindex bestaande koopwoningen (2015=100)";"Prijsindex verkoopprijzen/Ontwikkeling  t.o.v. voorgaande periode (%)";"Prijsindex verkoopprijzen/Ontwikkeling  t.o.v. een jaar eerder (%)";"Aantal verkochte woningen/Aantal verkochte woningen (aantal)";"Aantal verkochte woningen/Ontwikkeling  t.o.v. voorgaande periode (%)";"Aantal verkochte woningen/Ontwikkeling  t.o.v. een jaar eerder (%)";"Gemiddelde verkoopprijs (euro)";"Totale waarde verkoopprijzen (mln euro)"
"1995 1e kwartaal";"    41.4";"";"";"   30734";"";"";"   89792";"    2760"
"1995 2e kwartaal";"    41.9";"     1.2";"";"   37054";"    20.6";"";"   92094";"    3412"
"1995 3e kwartaal";"    43.1";"     2.8";"";"   40498";"     9.3";"";"   95819";"    3880"
"1995 4e kwartaal";"    43.6";"     1.3";"";"   46282";"    14.3";"";"   95892";"    4438"
"1996 1e kwartaal";"    44.8";"     2.8";"     8.3";"   35669";"   -22.9";"    16.1";"   97224";"    3468"
"1996 2e kwartaal";"    46.4";"     3.4";"    10.7";"   43810";"    22.8";"    18.2";"  100280";"    4393"
"1996 3e kwartaal";"    48.0";"     3.5";"    11.5";"   46582";"     6.3";"    15.0";"  104754";"    4880"
"1996 4e kwartaal";"    49.0";"     2.2";"    12.4";"   49690";"     6.7";"     7.4";"  106508";"    5292"
"1997 1e kwartaal";"    50.6";"     3.2";"    12.8";"   35763";"   -28.0";"     0.3";"  107138";"    3832"
"1997 2e kwartaal";"    52.0";"     2.7";"    12.1";"   47160";"    31.9";"     7.6";"  110934";"    5232"
"1997 3e kwartaal";"    53.5";"     2.9";"    11.4";"   49619";"     5.2";"     6.5";"  115563";"    5734"
"1997 4e kwartaal";"    54.6";"     2.2";"    11.4";"   53092";"     7.0";"     6.8";"  116960";"    6210"
"1998 1e kwartaal";"    55.9";"     2.4";"    10.6";"   38128";"   -28.2";"     6.6";"  118873";"    4532"
"1998 2e kwartaal";"    57.4";"     2.6";"    10.4";"   47410";"    24.3";"     0.5";"  121358";"    5754"
"1998 3e kwartaal";"    59.3";"     3.4";"    10.9";"   51153";"     7.9";"     3.1";"  127361";"    6515"
"1998 4e kwartaal";"    61.0";"     2.8";"    11.6";"   55931";"     9.3";"     5.3";"  128521";"    7188"
"1999 1e kwartaal";"    63.4";"     3.9";"    13.3";"   42223";"   -24.5";"    10.7";"  131800";"    5565"
"1999 2e kwartaal";"    66.1";"     4.3";"    15.2";"   50211";"    18.9";"     5.9";"  139546";"    7007"
"1999 3e kwartaal";"    69.6";"     5.3";"    17.4";"   55575";"    10.7";"     8.6";"  148759";"    8267"
"1999 4e kwartaal";"    72.6";"     4.4";"    19.1";"   56529";"     1.7";"     1.1";"  155204";"    8774"
"2000 1e kwartaal";"    75.9";"     4.5";"    19.9";"   39643";"   -29.9";"    -6.1";"  159365";"    6318"
"2000 2e kwartaal";"    78.9";"     3.9";"    19.4";"   47098";"    18.8";"    -6.2";"  167599";"    7894"
"2000 3e kwartaal";"    82.3";"     4.3";"    18.2";"   48794";"     3.6";"   -12.2";"  177486";"    8660"
"2000 4e kwartaal";"    84.2";"     2.3";"    15.8";"   53823";"    10.3";"    -4.8";"  180360";"    9707"
"2001 1e kwartaal";"    86.2";"     2.4";"    13.5";"   37729";"   -29.9";"    -4.8";"  180341";"    6804"
"2001 2e kwartaal";"    88.5";"     2.7";"    12.1";"   48191";"    27.7";"     2.3";"  186614";"    8993"
"2001 3e kwartaal";"    90.8";"     2.6";"    10.3";"   52498";"     8.9";"     7.6";"  191524";"   10055"
"2001 4e kwartaal";"    91.6";"     0.9";"     8.8";"   57319";"     9.2";"     6.5";"  192334";"   11024"
"2002 1e kwartaal";"    93.2";"     1.8";"     8.2";"   44377";"   -22.6";"    17.6";"  194834";"    8646"
"2002 2e kwartaal";"    94.5";"     1.4";"     6.8";"   48081";"     8.3";"    -0.2";"  198713";"    9554"
"2002 3e kwartaal";"    96.1";"     1.7";"     5.9";"   52597";"     9.4";"     0.2";"  203432";"   10700"
"2002 4e kwartaal";"    96.0";"    -0.1";"     4.9";"   53331";"     1.4";"    -7.0";"  201154";"   10728"
"2003 1e kwartaal";"    96.9";"     0.9";"     3.9";"   39587";"   -25.8";"   -10.8";"  200535";"    7939"
"2003 2e kwartaal";"    97.9";"     1.1";"     3.6";"   46278";"    16.9";"    -3.8";"  203216";"    9404"
"2003 3e kwartaal";"    98.8";"     0.9";"     2.8";"   50365";"     8.8";"    -4.2";"  205078";"   10329"
"2003 4e kwartaal";"    99.9";"     1.1";"     4.0";"   57176";"    13.5";"     7.2";"  208888";"   11943"
"2004 1e kwartaal";"   101.0";"     1.1";"     4.2";"   39251";"   -31.4";"    -0.8";"  208625";"    8189"
"2004 2e kwartaal";"   102.1";"     1.1";"     4.2";"   47946";"    22.2";"     3.6";"  212346";"   10181"
"2004 3e kwartaal";"   103.6";"     1.5";"     4.8";"   50427";"     5.2";"     0.1";"  217298";"   10958"
"2004 4e kwartaal";"   103.9";"     0.3";"     4.0";"   54317";"     7.7";"    -5.0";"  211771";"   11503"
"2005 1e kwartaal";"   104.9";"     0.9";"     3.8";"   41210";"   -24.1";"     5.0";"  215695";"    8889"
"2005 2e kwartaal";"   106.1";"     1.2";"     4.0";"   50592";"    22.8";"     5.5";"  220225";"   11142"
"2005 3e kwartaal";"   107.4";"     1.2";"     3.7";"   55728";"    10.2";"    10.5";"  226905";"   12645"
"2005 4e kwartaal";"   108.1";"     0.6";"     4.0";"   59099";"     6.0";"     8.8";"  225757";"   13342"
"2006 1e kwartaal";"   109.7";"     1.5";"     4.6";"   47519";"   -19.6";"    15.3";"  229580";"   10909"
"2006 2e kwartaal";"   111.0";"     1.2";"     4.6";"   53203";"    12.0";"     5.2";"  234316";"   12466"
"2006 3e kwartaal";"   112.4";"     1.3";"     4.6";"   53882";"     1.3";"    -3.3";"  241045";"   12988"
"2006 4e kwartaal";"   112.9";"     0.5";"     4.5";"   55163";"     2.4";"    -6.7";"  237631";"   13108"
"2007 1e kwartaal";"   114.2";"     1.1";"     4.1";"   45255";"   -18.0";"    -4.8";"  242522";"   10975"
"2007 2e kwartaal";"   115.6";"     1.2";"     4.1";"   50423";"    11.4";"    -5.2";"  245955";"   12402"
"2007 3e kwartaal";"   117.3";"     1.5";"     4.4";"   52161";"     3.4";"    -3.2";"  253679";"   13232"
"2007 4e kwartaal";"   117.7";"     0.3";"     4.2";"   54562";"     4.6";"    -1.1";"  250208";"   13652"
"2008 1e kwartaal";"   119.2";"     1.2";"     4.4";"   40971";"   -24.9";"    -9.5";"  253376";"   10381"
"2008 2e kwartaal";"   119.3";"     0.1";"     3.2";"   48014";"    17.2";"    -4.8";"  253527";"   12173"
"2008 3e kwartaal";"   120.6";"     1.1";"     2.8";"   48440";"     0.9";"    -7.1";"  259425";"   12567"
"2008 4e kwartaal";"   119.7";"    -0.8";"     1.7";"   44967";"    -7.2";"   -17.6";"  252950";"   11374"
"2009 1e kwartaal";"   118.9";"    -0.7";"    -0.2";"   27218";"   -39.5";"   -33.6";"  247692";"    6742"
"2009 2e kwartaal";"   115.9";"    -2.5";"    -2.9";"   30269";"    11.2";"   -37.0";"  235495";"    7128"
"2009 3e kwartaal";"   114.3";"    -1.4";"    -5.2";"   33234";"     9.8";"   -31.4";"  233608";"    7764"
"2009 4e kwartaal";"   113.3";"    -0.8";"    -5.3";"   36811";"    10.8";"   -18.1";"  237755";"    8752"
"2010 1e kwartaal";"   113.2";"    -0.2";"    -4.8";"   27745";"   -24.6";"     1.9";"  236712";"    6568"
"2010 2e kwartaal";"   113.3";"     0.1";"    -2.2";"   31891";"    14.9";"     5.4";"  240001";"    7654"
"2010 3e kwartaal";"   113.4";"     0.1";"    -0.8";"   32398";"     1.6";"    -2.5";"  244424";"    7919"
"2010 4e kwartaal";"   112.1";"    -1.1";"    -1.1";"   34093";"     5.2";"    -7.4";"  236733";"    8071"
"2011 1e kwartaal";"   111.5";"    -0.5";"    -1.5";"   28358";"   -16.8";"     2.2";"  240132";"    6810"
"2011 2e kwartaal";"   111.0";"    -0.4";"    -2.0";"   29532";"     4.1";"    -7.4";"  241736";"    7139"
"2011 3e kwartaal";"   110.2";"    -0.8";"    -2.8";"   30769";"     4.2";"    -5.0";"  245503";"    7554"
"2011 4e kwartaal";"   108.3";"    -1.7";"    -3.4";"   32080";"     4.3";"    -5.9";"  233229";"    7482"
"2012 1e kwartaal";"   106.9";"    -1.3";"    -4.1";"   23951";"   -25.3";"   -15.5";"  235954";"    5651"
"2012 2e kwartaal";"   104.9";"    -1.9";"    -5.5";"   34628";"    44.6";"    17.3";"  234572";"    8123"
"2012 3e kwartaal";"   100.7";"    -3.9";"    -8.6";"   22978";"   -33.6";"   -25.3";"  215795";"    4959"
"2012 4e kwartaal";"   100.1";"    -0.7";"    -7.6";"   35704";"    55.4";"    11.3";"  219746";"    7846"
"2013 1e kwartaal";"    97.8";"    -2.3";"    -8.6";"   23090";"   -35.3";"    -3.6";"  213240";"    4924"
"2013 2e kwartaal";"    95.8";"    -2.0";"    -8.7";"   22111";"    -4.2";"   -36.1";"  210908";"    4663"
"2013 3e kwartaal";"    96.1";"     0.4";"    -4.6";"   28925";"    30.8";"    25.9";"  214778";"    6212"
"2013 4e kwartaal";"    95.8";"    -0.4";"    -4.3";"   35968";"    24.3";"     0.7";"  213784";"    7689"
"2014 1e kwartaal";"    96.3";"     0.6";"    -1.5";"   28963";"   -19.5";"    25.4";"  215689";"    6247"
"2014 2e kwartaal";"    96.9";"     0.6";"     1.2";"   34074";"    17.6";"    54.1";"  220670";"    7519"
"2014 3e kwartaal";"    97.8";"     0.9";"     1.8";"   39160";"    14.9";"    35.4";"  225194";"    8819"
"2014 4e kwartaal";"    97.9";"     0.1";"     2.2";"   51314";"    31.0";"    42.7";"  224660";"   11528"
"2015 1e kwartaal";"    98.6";"     0.8";"     2.4";"   34527";"   -32.7";"    19.2";"  221589";"    7651"
"2015 2e kwartaal";"    99.4";"     0.8";"     2.5";"   40722";"    17.9";"    19.5";"  227389";"    9260"
"2015 3e kwartaal";"   100.7";"     1.3";"     2.9";"   50609";"    24.3";"    29.2";"  233301";"   11807"
"2015 4e kwartaal";"   101.3";"     0.6";"     3.5";"   52435";"     3.6";"     2.2";"  235039";"   12324"
"2016 1e kwartaal";"   102.6";"     1.3";"     4.1";"   42897";"   -18.2";"    24.2";"  236333";"   10138"
"2016 2e kwartaal";"   103.7";"     1.0";"     4.4";"   50315";"    17.3";"    23.6";"  239542";"   12053"
"2016 3e kwartaal";"   106.3";"     2.5";"     5.6";"   60707";"    20.7";"    20.0";"  249593";"   15152"
"2016 4e kwartaal";"   107.5";"     1.1";"     6.1";"   60874";"     0.3";"    16.1";"  246934";"   15032"
