Date,Open,High,Low,Close*,Adj Close**,Volume
"Mar 26, 2021","3,917.12","3,978.19","3,917.12","3,974.54","3,974.54","5,467,850,000"
"Mar 25, 2021","3,879.34","3,919.54","3,853.50","3,909.52","3,909.52","4,940,800,000"
"Mar 24, 2021","3,919.93","3,942.08","3,889.07","3,889.14","3,889.14","4,766,990,000"
"Mar 23, 2021","3,937.60","3,949.13","3,901.57","3,910.52","3,910.52","4,645,340,000"
"Mar 22, 2021","3,916.48","3,955.31","3,914.16","3,940.59","3,940.59","4,311,380,000"
"Mar 19, 2021","3,913.14","3,930.12","3,886.75","3,913.10","3,913.10","7,725,050,000"
"Mar 18, 2021","3,953.50","3,969.62","3,910.86","3,915.46","3,915.46","4,043,170,000"
"Mar 17, 2021","3,949.57","3,983.87","3,935.74","3,974.12","3,974.12","4,541,620,000"
"Mar 16, 2021","3,973.59","3,981.04","3,953.44","3,962.71","3,962.71","4,604,870,000"
"Mar 15, 2021","3,942.96","3,970.08","3,923.54","3,968.94","3,968.94","4,882,190,000"
"Mar 12, 2021","3,924.52","3,944.99","3,915.21","3,943.34","3,943.34","4,469,240,000"
"Mar 11, 2021","3,915.54","3,960.27","3,915.54","3,939.34","3,939.34","5,300,010,000"
"Mar 10, 2021","3,891.99","3,917.35","3,885.73","3,898.81","3,898.81","5,827,250,000"
"Mar 09, 2021","3,851.93","3,903.76","3,851.93","3,875.44","3,875.44","5,496,340,000"
"Mar 08, 2021","3,844.39","3,881.06","3,819.25","3,821.35","3,821.35","5,852,240,000"
"Mar 05, 2021","3,793.58","3,851.69","3,730.19","3,841.94","3,841.94","6,842,570,000"
"Mar 04, 2021","3,818.53","3,843.67","3,723.34","3,768.47","3,768.47","7,142,240,000"
"Mar 03, 2021","3,863.99","3,874.47","3,818.86","3,819.72","3,819.72","6,150,790,000"
"Mar 02, 2021","3,903.64","3,906.41","3,868.57","3,870.29","3,870.29","5,493,690,000"
"Mar 01, 2021","3,842.51","3,914.50","3,842.51","3,901.82","3,901.82","5,071,540,000"
"Feb 26, 2021","3,839.66","3,861.08","3,789.54","3,811.15","3,811.15","6,512,950,000"
"Feb 25, 2021","3,915.80","3,925.02","3,814.04","3,829.34","3,829.34","6,513,060,000"
"Feb 24, 2021","3,873.71","3,928.65","3,859.60","3,925.43","3,925.43","5,942,350,000"
"Feb 23, 2021","3,857.07","3,895.98","3,805.59","3,881.37","3,881.37","6,280,650,000"
"Feb 22, 2021","3,885.55","3,902.92","3,874.71","3,876.50","3,876.50","5,870,190,000"
"Feb 19, 2021","3,921.16","3,930.41","3,903.07","3,906.71","3,906.71","4,823,940,000"
"Feb 18, 2021","3,915.86","3,921.98","3,885.03","3,913.97","3,913.97","4,773,430,000"
"Feb 17, 2021","3,918.50","3,933.61","3,900.43","3,931.33","3,931.33","4,718,280,000"
"Feb 16, 2021","3,939.61","3,950.43","3,923.85","3,932.59","3,932.59","5,037,360,000"
"Feb 12, 2021","3,911.65","3,937.23","3,905.78","3,934.83","3,934.83","4,119,260,000"
"Feb 11, 2021","3,916.40","3,925.99","3,890.39","3,916.38","3,916.38","4,570,080,000"
"Feb 10, 2021","3,920.78","3,931.50","3,884.94","3,909.88","3,909.88","4,815,380,000"
"Feb 09, 2021","3,910.49","3,918.35","3,902.64","3,911.23","3,911.23","4,554,610,000"
"Feb 08, 2021","3,892.59","3,915.77","3,892.59","3,915.59","3,915.59","4,635,030,000"
"Feb 05, 2021","3,878.30","3,894.56","3,874.93","3,886.83","3,886.83","4,838,580,000"
"Feb 04, 2021","3,836.66","3,872.42","3,836.66","3,871.74","3,871.74","4,856,670,000"
"Feb 03, 2021","3,840.27","3,847.51","3,816.68","3,830.17","3,830.17","4,846,900,000"
"Feb 02, 2021","3,791.84","3,843.09","3,791.84","3,826.31","3,826.31","5,495,370,000"
"Feb 01, 2021","3,731.17","3,784.32","3,725.62","3,773.86","3,773.86","5,392,870,000"
"Jan 29, 2021","3,778.05","3,778.05","3,694.12","3,714.24","3,714.24","6,612,570,000"
"Jan 28, 2021","3,755.75","3,830.50","3,755.75","3,787.38","3,787.38","6,937,960,000"
"Jan 27, 2021","3,836.83","3,836.83","3,732.48","3,750.77","3,750.77","9,878,040,000"
"Jan 26, 2021","3,862.96","3,870.90","3,847.78","3,849.62","3,849.62","6,029,090,000"
"Jan 25, 2021","3,851.68","3,859.23","3,797.16","3,855.36","3,855.36","6,955,860,000"
"Jan 22, 2021","3,844.24","3,852.31","3,830.41","3,841.47","3,841.47","5,080,430,000"
"Jan 21, 2021","3,857.46","3,861.45","3,845.05","3,853.07","3,853.07","4,484,460,000"
"Jan 20, 2021","3,816.22","3,859.75","3,816.22","3,851.85","3,851.85","4,551,790,000"
"Jan 19, 2021","3,781.88","3,804.53","3,780.37","3,798.91","3,798.91","4,982,940,000"
"Jan 15, 2021","3,788.73","3,788.73","3,749.62","3,768.25","3,768.25","5,353,060,000"
"Jan 14, 2021","3,814.98","3,823.60","3,792.86","3,795.54","3,795.54","5,180,140,000"
"Jan 13, 2021","3,802.23","3,820.96","3,791.50","3,809.84","3,809.84","4,590,420,000"
"Jan 12, 2021","3,801.62","3,810.78","3,776.51","3,801.19","3,801.19","4,977,210,000"
"Jan 11, 2021","3,803.14","3,817.86","3,789.02","3,799.61","3,799.61","4,450,500,000"
"Jan 08, 2021","3,815.05","3,826.69","3,783.60","3,824.68","3,824.68","4,764,180,000"
"Jan 07, 2021","3,764.71","3,811.55","3,764.71","3,803.79","3,803.79","5,080,870,000"
"Jan 06, 2021","3,712.20","3,783.04","3,705.34","3,748.14","3,748.14","6,049,970,000"
"Jan 05, 2021","3,698.02","3,737.83","3,695.07","3,726.86","3,726.86","4,582,620,000"
"Jan 04, 2021","3,764.61","3,769.99","3,662.71","3,700.65","3,700.65","5,006,680,000"
"Dec 31, 2020","3,733.27","3,760.20","3,726.88","3,756.07","3,756.07","3,172,510,000"
